Polling station code,File
01-011-0017,https://elections2020by.s3.eu-north-1.amazonaws.com/mauxxtnqco60a8kdunly0v90olfz
01-011-0020,https://elections2020by.s3.eu-north-1.amazonaws.com/d70d7d2e-8641-455d-9f2e-485b1ed33c53
01-011-0022,https://elections2020by.s3.eu-north-1.amazonaws.com/ct09ij0mh94k5syb54f4kk5g46o6
01-011-0030,https://elections2020by.s3.eu-north-1.amazonaws.com/984_428db58f6553a7661f68
01-011-0030,https://elections2020by.s3.eu-north-1.amazonaws.com/984_7ba22aedb4d3bdbb372e
01-011-0032,https://elections2020by.s3.eu-north-1.amazonaws.com/mqh97sgdwyevwvleikgin0t1mdii
01-011-0035,https://elections2020by.s3.eu-north-1.amazonaws.com/1aw4zcu6qcb4w5irqh7qou1ckp2d
01-011-0036,https://elections2020by.s3.eu-north-1.amazonaws.com/lh19dbudo81xpbice0drn4zp68s2
01-011-0036,https://elections2020by.s3.eu-north-1.amazonaws.com/coycxvustyb0znugpewekdtz0det
01-011-0037,https://elections2020by.s3.eu-north-1.amazonaws.com/ey4sul4yrtjc2kdr9y2alv9k7cc2
01-011-0038,https://elections2020by.s3.eu-north-1.amazonaws.com/2h7v972l2edww6wg6klbssv0kbh4
01-011-0038,https://elections2020by.s3.eu-north-1.amazonaws.com/wg9ertb2dq85lokq3bia5nljj06g
01-011-0038,https://elections2020by.s3.eu-north-1.amazonaws.com/qbh23dnh390qxjaiqx9kichgrd1k
01-011-0041,https://elections2020by.s3.eu-north-1.amazonaws.com/wc48jhop44nc5cbkfjviynmfs470
01-011-0041,https://elections2020by.s3.eu-north-1.amazonaws.com/995_0e9e038a25d1eedbd9f3
01-011-0041,https://elections2020by.s3.eu-north-1.amazonaws.com/995_ba2947a6bf1c4ea2bf1b
01-011-0042,https://elections2020by.s3.eu-north-1.amazonaws.com/995_ccfab5ac6a788ca75c32
01-011-0042,https://elections2020by.s3.eu-north-1.amazonaws.com/996_8addeb5b4313c9bb80c9
01-011-0046,https://elections2020by.s3.eu-north-1.amazonaws.com/1000_95f6375ca5a731ec595a
01-011-0047,https://elections2020by.s3.eu-north-1.amazonaws.com/fgquq6kb1azhkwrgn60ka76mbk9x
01-011-0048,https://elections2020by.s3.eu-north-1.amazonaws.com/yto48hbdky46gxa2wfp34hg33j4a
01-011-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/1003_73fd51106f03cd2ac447
01-011-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/ji8ad7cqgs6e0vbm817pbvdc8p2m
01-011-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/z3vgzf6doil3gfp5r9yglfcv0a4x
01-011-0058,https://elections2020by.s3.eu-north-1.amazonaws.com/1012_0298452b13a8f80d9dae
01-011-0058,https://elections2020by.s3.eu-north-1.amazonaws.com/1012_35a65d35a9996a02d473
01-011-0060,https://elections2020by.s3.eu-north-1.amazonaws.com/be9443cd-8bb7-4ade-ac24-9a5442e46c76
01-011-0060,https://elections2020by.s3.eu-north-1.amazonaws.com/3b2fea89-6385-4ad1-96e8-9a96178e1562
01-011-0060,https://elections2020by.s3.eu-north-1.amazonaws.com/1k4bn8t4nrwr4l5yvyl0tjkjiqki
01-011-0061,https://elections2020by.s3.eu-north-1.amazonaws.com/1015_6c99273cf78106039d66
01-011-0061,https://elections2020by.s3.eu-north-1.amazonaws.com/1015_d96fa589e1608fa2da3b
01-011-0062,https://elections2020by.s3.eu-north-1.amazonaws.com/g9bsxoeaeuih7ojytrgbenrtoh4j
01-011-0063,https://elections2020by.s3.eu-north-1.amazonaws.com/omqnysuf9j79fput8o3rhdpz10ew
01-011-0065,https://elections2020by.s3.eu-north-1.amazonaws.com/vo33bazch7jphcdwba74qr7ami6k
01-011-0065,https://elections2020by.s3.eu-north-1.amazonaws.com/1041ct735ngg9fq5v0qq52db87ke
01-011-0066,https://elections2020by.s3.eu-north-1.amazonaws.com/dc3gcezy6mrla8zqxno6662il66f
01-011-0066,https://elections2020by.s3.eu-north-1.amazonaws.com/s9ytq12lzgmtzoa6rxl3clahovdv
01-011-0066,https://elections2020by.s3.eu-north-1.amazonaws.com/2bauk2o8k6l7ukrmsle61fyfq5s8
01-011-0070,https://elections2020by.s3.eu-north-1.amazonaws.com/c8389e2d-e7a3-4c5f-841c-d0138fbec6a0
01-011-0070,https://elections2020by.s3.eu-north-1.amazonaws.com/a45f3612-ea1f-4ad1-b592-cfa875feaabf
01-011-0072,https://elections2020by.s3.eu-north-1.amazonaws.com/dokibkl0wob8zcvaos0zomyd7xw8
01-011-0073,https://elections2020by.s3.eu-north-1.amazonaws.com/bd60da6d-762b-486c-9b71-0252a1c2c472
01-011-0074,https://elections2020by.s3.eu-north-1.amazonaws.com/s0xbb5ull907ycm6o8qpx2e74abb
01-011-0075,https://elections2020by.s3.eu-north-1.amazonaws.com/b12ca4cf-f629-420c-bc98-a7bfe6b68e99
01-011-0075,https://elections2020by.s3.eu-north-1.amazonaws.com/a6ca9780-0243-407a-8852-a831d131e923
01-011-0075,https://elections2020by.s3.eu-north-1.amazonaws.com/1eoop12wm1v4zzj1njx0071dnbhk
